Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),HSpeed(mph),HSpeed(m/s),GpsSpeed(mph),GpsSpeed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,GpsLevel,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,BatteryCell4Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,Yaw(360),RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
1,0.7,0m 0.7s,36.500569,126.3373923,P-GPS,0,0,0,0,0,0,0,0,36.50056931,126.337392,15,5,97,16.797,0.023,4.195,4.215,4.192,4.195,0,0,0,0,0.7,-142.9,217.1,1024,1024,1024,1024,1024,,,,,
2,0.8,0m 0.8s,36.5005689,126.3373923,P-GPS,0,0,0,0,0,0,0,0,36.50056931,126.337392,15,5,97,16.797,0.023,4.195,4.215,4.192,4.195,0,0,0,0,0.7,-142.8,217.2,1024,1024,1024,1024,1024,,,,,
3,0.9,0m 0.9s,36.50056891,126.3373923,P-GPS,0,0,0,0,0,0,0,0,36.50056931,126.337392,15,5,97,16.797,0.023,4.195,4.215,4.192,4.195,0,0,0,0.1,0.7,-142.9,217.1,1024,1024,1024,1024,1024,,,,,
4,1,0m 1s,36.50056881,126.3373924,P-GPS,0,0,0,0,0,0,0,0,36.50056931,126.337392,15,5,97,16.797,0.023,4.195,4.215,4.192,4.195,0,0,0,0.1,0.7,-142.8,217.2,1024,1024,1024,1024,1024,,,,,
5,1.1,0m 1.1s,36.50056881,126.3373924,P-GPS,0,0,0,0,0,0,0,0,36.50056931,126.337392,15,5,97,16.797,0.023,4.195,4.215,4.192,4.195,0,0,0,0.1,0.7,-142.8,217.2,1024,1024,1024,1024,1024,,,,,
6,1.2,0m 1.2s,36.50056881,126.3373924,P-GPS,0,0,0,0,0,0,0,0,36.50056931,126.337392,15,5,97,16.797,0.023,4.195,4.215,4.192,4.195,0,0,0,0.1,0.8,-142.8,217.2,1024,1024,1024,1024,1024,,,,,
7,1.3,0m 1.3s,36.50056882,126.3373924,P-GPS,0,0,0,0,0,0,0.3,0.1,36.50056931,126.337392,15,5,97,16.797,0.023,4.195,4.215,4.192,4.195,0,0,0,0.5,0.8,-142.8,217.2,1024,1024,1024,1024,1024,,,,,
8,1.4,0m 1.4s,36.50056872,126.3373925,P-GPS,0,0,0,0,0,0,0,0,36.50056931,126.337392,15,5,97,16.797,0.023,4.195,4.215,4.192,4.195,0,0,0,0.3,0.9,-142.8,217.2,1024,1024,1024,1024,1024,,,,,
9,1.5,0m 1.5s,36.50056872,126.3373925,P-GPS,0,0,0,0,0,0,0,0,36.50056931,126.337392,15,5,97,16.797,0.023,4.195,4.215,4.192,4.195,0,0,0,0.3,0.9,-142.8,217.2,1024,1024,1024,1024,1024,,,,,
10,1.6,0m 1.6s,36.50056872,126.3373925,P-GPS,0,0,0,0,0,0,0,0,36.50056931,126.337392,15,5,97,16.797,0.023,4.195,4.215,4.192,4.195,0,0,0,0.3,0.9,-142.8,217.2,1024,1024,1024,1024,1024,,,,,
11,1.7,0m 1.7s,36.50056873,126.3373925,P-GPS,0,0,0,0,0,0,0.3,0.1,36.50056931,126.337392,15,5,97,16.755,0.025,4.186,4.206,4.181,4.182,0,0,0,0.5,0.9,-142.8,217.2,1024,1024,1024,1024,1024,,,,,
12,1.8,0m 1.8s,36.50056862,126.3373926,P-GPS,0,0,0,0,0,0,0.4,0.1,36.50056931,126.337392,15,5,97,16.755,0.025,4.186,4.206,4.181,4.182,0,0,0,0.3,0.8,-142.9,217.1,1024,1024,1024,1024,1024,,,,,
13,1.9,0m 1.9s,36.50056863,126.3373926,P-GPS,0,0,0,0,0,0,0.3,0.1,36.50056931,126.337392,15,5,97,16.755,0.025,4.186,4.206,4.181,4.182,0,0,0,0.3,0.8,-142.9,217.1,1024,1024,1024,1024,1024,,,,,
14,2,0m 2s,36.50056862,126.3373926,Manual Takeoff,0,0,0,0,0,0,0.4,0.1,36.50056931,126.337392,15,5,97,16.755,0.025,4.186,4.206,4.181,4.182,0,0,0,0.1,0.8,-142.9,217.1,1024,1024,1024,1024,1024,,,,,
15,2.1,0m 2.1s,36.5005686,126.3373926,Manual Takeoff,0,0,0,0,0,0,0.3,0.1,36.50056931,126.337392,15,5,97,16.755,0.025,4.186,4.206,4.181,4.182,0,0,0,0.1,0.8,-142.9,217.1,1024,1024,1024,1024,1024,,,,,
16,2.2,0m 2.2s,36.50056861,126.3373926,Manual Takeoff,0,0,0,0,0,0,0.4,0.1,36.50056931,126.337392,15,5,97,16.755,0.025,4.186,4.206,4.181,4.182,0,0,0,0.1,0.8,-142.9,217.1,1024,1024,1024,1024,1024,,,,,
17,2.3,0m 2.3s,36.50056861,126.3373926,Manual Takeoff,0,0,0,0,0,0,0.4,0.1,36.50056931,126.337392,15,5,97,16.755,0.025,4.186,4.206,4.181,4.182,0,0,0,0.1,0.8,-142.9,217.1,1024,1024,1024,1024,1024,,,,,
18,2.4,0m 2.4s,36.50056862,126.3373927,Manual Takeoff,0,0,0,0,0,0,0.4,0.1,36.50056931,126.337392,15,5,97,16.755,0.025,4.186,4.206,4.181,4.182,0,0,0,0.1,0.8,-142.9,217.1,1024,1024,1024,1024,1024,,,,,
