Company,Name,Length,Width,Weight
XK,A100 SU27,420,340,65
Samco,DUODRONE,1400,2200,3200
Uconsystem,RemoM-002,1440,1800,3500
Suewon Unmanned Tech,SCANNER,1200,2600,5000
KEVA Drone,KD-2 MAPPER,1100,1800,2000
Volantex,ASW28,1132,2540,1050
Suewon Unmanned Tech,VAM-400X,1000,1400,6000
FINEKOWAC,Canister Style,1500,1500,15000
Parrot,DISCO,580,1150,750
Samco,DUODRONE - VA,2600,1400,10000
Samco,DUODRONE-EN,3200,2000,21500
Samco,DUODRONE-WB,1200,3000,9000
Beliver,1960mm UAV,1070,1960,4200
Skywalker,1830mm FPV Plane,1270,1830,2750
ACCESS WE,Neptune V270,1460,2750,17000
MFE,Freedman,1070,2100,5000
World Model,Cherokee2,1637,3320,3780
X-UAV,Talon,1100,1718,2750
SonicModell,Mini Skyhunter V2,855,1238,830
Dyman,P-51D Mustang,1045,1200,1100
Phoenix,Stinson EP,990,1310,1700
Skywing,Sky rock F3A,1030,1000,760
Dyman,Seawind,1045,1220,1250
World Model,Qutrageous Racing,980,1320,1540
World Model,The Big Wings,1075,3035,7100
ZETA,Z-84 EPO,405,845,300
Skywalker,falcon,620,1340,650
Ranger,EX 757-3,1170,1980,1500
