CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2013-01-01,12,9,6,8,7,5,93,86,76,1022,1017,1014,31,10,5,26,14,,5.08,7,Rain,234
2013-01-02,9,7,4,6,4,2,93,86,71,1035,1028,1022,31,11,10,23,16,,0,5,,298
2013-01-03,8,4,0,4,2,-1,100,87,69,1042,1039,1035,19,10,10,13,5,,0,5,,118
2013-01-04,7,6,5,7,6,4,100,94,83,1042,1039,1037,10,6,1,10,5,,0,8,Fog,292
2013-01-05,7,6,5,6,6,4,100,94,90,1038,1035,1034,11,9,2,16,8,,0,8,,306
2013-01-06,5,4,4,4,4,3,100,92,85,1035,1032,1029,19,9,3,11,8,,0,8,,306
2013-01-07,4,3,3,4,3,2,100,96,92,1030,1028,1026,10,5,1,11,6,,0,8,Fog,324
2013-01-08,5,3,2,3,2,1,100,91,84,1031,1029,1028,31,10,6,11,6,,0,8,Rain,289
2013-01-09,5,4,4,3,2,2,93,86,79,1028,1024,1022,31,11,6,8,3,,0,8,,63
2013-01-10,12,8,4,10,6,3,94,86,77,1024,1022,1019,26,10,6,32,10,,0.76,7,Rain,255
2013-01-11,11,7,2,7,4,0,87,78,54,1025,1023,1020,31,10,6,34,18,,0,5,Rain,282
2013-01-12,11,6,0,6,2,-1,93,85,62,1021,1016,1012,31,10,6,24,6,,0,7,Rain,178
2013-01-13,7,6,4,5,4,2,100,91,81,1017,1012,1010,23,10,6,27,10,,10.92,7,Rain,270
2013-01-14,4,2,1,4,0,-4,93,76,56,1020,1017,1016,31,11,8,32,19,,0,7,,294
2013-01-15,8,4,1,5,1,-2,93,76,50,1015,1012,1008,10,9,3,37,18,,4.06,6,Rain,278
2013-01-16,3,2,1,2,1,0,100,91,71,1014,1007,1001,11,7,2,19,13,,19.05,8,Rain-Snow,15
2013-01-17,2,-1,-3,-1,-3,-5,93,80,65,1017,1014,1009,18,10,7,23,13,,0,5,,314
2013-01-18,5,1,-3,4,-1,-5,100,87,75,1014,1004,994,10,8,3,24,6,27,2.03,8,Rain-Snow,136
2013-01-19,9,6,3,7,5,2,93,91,82,996,985,979,14,9,5,34,19,,0.51,8,Rain,139
2013-01-20,5,2,0,7,2,-1,100,85,67,1001,994,981,14,8,1,42,19,66,6.1,7,Fog-Rain-Snow,266
2013-01-21,8,4,1,4,2,-1,93,83,68,1009,1003,998,31,10,5,40,18,61,2.03,6,Rain,239
2013-01-22,8,3,-2,3,1,-2,93,82,48,1010,1004,1002,26,11,10,16,8,,0.25,6,Rain,126
2013-01-23,8,4,1,5,2,0,93,83,70,1010,1006,1003,31,11,10,34,14,,0.51,7,Rain,263
2013-01-24,6,3,2,3,2,1,100,86,71,1016,1008,1003,31,10,5,29,10,,3.05,7,Rain,298
2013-01-25,4,2,-1,1,0,-2,100,85,65,1019,1016,1011,23,10,3,24,14,,0,6,,299
2013-01-26,8,3,-1,8,4,-2,100,91,81,1022,1014,1008,26,8,0,32,11,,0.51,7,Fog-Rain-Snow,252
2013-01-27,8,4,0,7,3,0,100,92,81,1020,1014,1010,19,7,0,34,6,50,1.02,7,Fog-Rain,160
2013-01-28,12,9,5,8,6,4,93,83,70,1026,1022,1016,26,10,10,29,19,,5.08,6,Rain,266
